level,pathway,Total_Genes,DEGs,Upregulated,Downregulated,Pct_Up,Pct_Down,Enrichment_P,Enrichment_FDR,Enrichment_OR,Enrichment_Sig,Directional_P,Directional_FDR,Directional_OR,Directional_Sig
level_2,Transcription,9,1,0,1,0.0,100.0,0.9305644386849368,0.9993980168937888,0.3623023881601076,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Translation factors,16,6,0,6,0.0,100.0,0.20678678995105737,0.9993980168937888,1.741576819407008,ns,0.007736541359433237,0.07543127825447406,0.0,ns
level_2,Type II fatty acid synthesis,9,1,0,1,0.0,100.0,0.9305644386849368,0.9993980168937888,0.3623023881601076,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Urea cycle,8,1,0,1,0.0,100.0,0.9066000242308346,0.9993980168937888,0.4141079236942002,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Vitamin A metabolism,5,2,0,2,0.0,100.0,0.38069085733450825,0.9993980168937888,1.934051144010767,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Vitamin B12 metabolism,4,2,0,2,0.0,100.0,0.2725489978987079,0.9993980168937888,2.9014131897711977,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,Vitamin B1 metabolism,1,1,0,1,0.0,100.0,0.25640141391499266,0.9993980168937888,inf,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Vitamin B2 metabolism,3,1,0,1,0.0,100.0,0.5888721210465647,0.9993980168937888,1.450218634376051,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,Vitamin B6 metabolism,2,1,1,0,100.0,0.0,0.44707758179021356,0.9993980168937888,2.9007736293306423,ns,1.0,1.0,inf,ns
level_2,Xenobiotic metabolism,23,4,0,4,0.0,100.0,0.8776382288668121,0.9993980168937888,0.6100301258195995,ns,0.03918273723756928,0.19101584403315025,0.0,ns
level_2,fMet processing,3,2,0,2,0.0,100.0,0.16348850327751113,0.9993980168937888,5.8034993270524895,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,mt-rRNA modifications,17,6,0,6,0.0,100.0,0.25450250867569946,0.9993980168937888,1.5830678755207057,ns,0.007736541359433237,0.07543127825447406,0.0,ns
level_2,mt-tRNA modifications,21,8,5,3,62.5,37.5,0.14533384676337766,0.9993980168937888,1.786814668810623,ns,0.7391444217274856,0.847842130805057,1.3383991894630192,ns
level_2,mt-tRNA synthetases,22,5,0,5,0.0,100.0,0.7009486670097139,0.9993980168937888,0.8527331444534701,ns,0.017414549883364123,0.1234849900820365,0.0,ns
level_2,mtDNA nucleoid,11,1,0,1,0.0,100.0,0.9616280805684767,0.9993980168937888,0.28977463841237805,ns,0.44519166106254204,0.5600798316593272,0.0,ns
level_2,mtDNA repair,9,2,0,2,0.0,100.0,0.7148847085980177,0.9993980168937888,0.8284945202845606,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,mtDNA replication,14,2,0,2,0.0,100.0,0.9080443113162003,0.9993980168937888,0.48300807537012114,ns,0.19811253534670134,0.38631944392606765,0.0,ns
level_2,mtDNA stability and decay,3,3,0,3,0.0,100.0,0.01684361742090211,0.9993980168937888,inf,ns,0.0881240820081895,0.3436839198319391,0.0,ns
level_2,mtRNA granules,28,8,2,6,25.0,75.0,0.4311498085972453,0.9993980168937888,1.1604855023600809,ns,0.15008775717808248,0.38631944392606765,0.26658576051779936,ns
level_2,mtRNA stability and decay,17,2,0,2,0.0,100.0,0.9555241262450026,0.9993980168937888,0.38627187079407804,ns,0.19811253534670134,0.38631944392606765,0.0,ns
