GeneSymbol,GO_Term,GO_Name
Q3V426,GO:0006508,proteolysis
Q80Z57,GO:0006508,proteolysis
Q80Z58,GO:0006508,proteolysis
Q8BKM6,GO:0006508,proteolysis
Q8C099,GO:0006508,proteolysis
RAB40B,GO:0006508,proteolysis
RAB40C,GO:0006508,proteolysis
RAD23A,GO:0006508,proteolysis
RAD23B,GO:0006508,proteolysis
RANBP10,GO:0006508,proteolysis
RANBP9,GO:0006508,proteolysis
RARA,GO:0006508,proteolysis
RBBP6,GO:0006508,proteolysis
RBCK1,GO:0006508,proteolysis
RBMX,GO:0006508,proteolysis
RBMXL1,GO:0006508,proteolysis
RBX1,GO:0006508,proteolysis
RC3H1,GO:0006508,proteolysis
RC3H2,GO:0006508,proteolysis
RCE1,GO:0006508,proteolysis
RCHY1,GO:0006508,proteolysis
RCN3,GO:0006508,proteolysis
REN1,GO:0006508,proteolysis
REN2,GO:0006508,proteolysis
RET,GO:0006508,proteolysis
RFFL,GO:0006508,proteolysis
RHBDD1,GO:0006508,proteolysis
RHOBTB2,GO:0006508,proteolysis
RHOBTB3,GO:0006508,proteolysis
RIOK3,GO:0006508,proteolysis
RLIM,GO:0006508,proteolysis
RMND5A,GO:0006508,proteolysis
RMND5B,GO:0006508,proteolysis
RNF10,GO:0006508,proteolysis
RNF103,GO:0006508,proteolysis
RNF11,GO:0006508,proteolysis
RNF111,GO:0006508,proteolysis
RNF114,GO:0006508,proteolysis
RNF115,GO:0006508,proteolysis
RNF121,GO:0006508,proteolysis
RNF122,GO:0006508,proteolysis
RNF123,GO:0006508,proteolysis
RNF125,GO:0006508,proteolysis
RNF126,GO:0006508,proteolysis
RNF128,GO:0006508,proteolysis
